City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,Savannakhet,LA,72.84,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
69,Meulaboh,ID,74.03,overcast clouds,4.1363,96.1285,Kost Pria
71,Santa Rosa,PH,82.38,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
73,Odweyne,SO,75.94,overcast clouds,9.4092,45.064,Eng Hiirey House
80,Kerema,PG,79.34,scattered clouds,-7.9631,145.7785,Frena Lodge
81,Jadu,LY,79.7,clear sky,31.953,12.0261,امياس للصرافة
85,Bethel,US,72.01,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
86,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
90,Milford,US,72.21,overcast clouds,41.2223,-73.0565,Homewood Suites by Hilton Stratford
92,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
93,Sinnamary,GF,80.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
95,Kapaa,US,84.09,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
101,Lorengau,PG,82.35,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
105,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
106,Thompson,CA,71.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
108,Bull Savanna,JM,80.94,broken clouds,17.8868,-77.5902,Big Red's
109,Kavaratti,IN,79.47,overcast clouds,10.5669,72.642,Green leaf
110,Ziyang,CN,72.81,broken clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
112,Kamaishi,JP,71.38,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
114,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
120,Harper,LR,75.04,few clouds,4.375,-7.7169,Screensaver
123,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
124,Fatehpur,IN,82.72,overcast clouds,25.9333,80.8,Hotel Bombay Lodge
126,Otanche,CO,77.04,scattered clouds,5.6567,-74.1825,Bello Horizonte
127,Nabire,ID,77.0,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
128,Mabaruma,GY,76.64,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
133,Batticaloa,LK,80.08,overcast clouds,7.7102,81.6924,Grand Star Guest House
140,Cabra,ES,70.79,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
141,Matamoros,MX,82.51,broken clouds,25.5333,-103.25,Quinta Belem
142,Bonthe,SL,76.62,light rain,7.5264,-12.505,Bonthe Holiday Village
143,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
144,Mandera,KE,77.58,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
148,Sao Jose Da Coroa Grande,BR,73.63,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
149,Mayumba,GA,74.01,overcast clouds,-3.432,10.6554,LIKWALE LODGE
151,Mahibadhoo,MV,80.35,overcast clouds,3.7833,72.9667,Omadhoo Inn
157,Gabu,GW,76.1,light rain,12.2833,-14.2167,Hotel karsa
161,Nchelenge,ZM,75.15,clear sky,-9.3451,28.734,KD Travellers Home
164,Bengkulu,ID,73.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
168,Katsuura,JP,78.51,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
174,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
176,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
177,Dingle,PH,75.85,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
181,Samarai,PG,80.58,few clouds,-10.6167,150.6667,Nuli Sapi
185,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
187,Fukue,JP,76.48,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
191,Cockburn Town,TC,83.46,clear sky,21.4612,-71.1419,Osprey Beach Hotel
195,Faya,SA,71.71,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
201,Tezu,IN,77.09,overcast clouds,27.9167,96.1667,Circuit House
206,Marsaxlokk,MT,81.09,few clouds,35.8419,14.5431,Water's Edge
207,Nisia Floresta,BR,77.38,clear sky,-6.0911,-35.2086,Rancho Crepusculo
210,Sur,OM,79.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
212,Banda Aceh,ID,78.94,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
213,Kirakira,SB,81.32,broken clouds,-10.4544,161.9205,SanBiz Lodge
219,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
220,Lavra,PT,70.12,few clouds,41.2594,-8.7185,Park Hotel Porto Aeroporto
221,Tual,ID,80.38,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
224,Calabozo,VE,79.41,scattered clouds,8.9242,-67.4293,Hotel Giardini
225,Ponta Do Sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
236,Morondava,MG,71.26,clear sky,-20.2833,44.2833,La Case Bambou
237,Alcantara,BR,82.6,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
238,Kurduvadi,IN,77.45,overcast clouds,18.0833,75.4333,Trimurti Hotel and Lodging
239,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
243,Monrovia,LR,75.92,light rain,6.3005,-10.7969,Sunset Inn
245,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
246,Touros,BR,75.38,clear sky,-5.1989,-35.4608,INN NEW HORIZON
249,La Ronge,CA,70.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
250,Mirador,BR,83.03,scattered clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
251,Ribas Do Rio Pardo,BR,83.71,scattered clouds,-20.4431,-53.7592,Pousada Avenida
252,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
259,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
261,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
266,Santa Cruz De Tenerife,ES,75.92,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
268,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
270,Sibolga,ID,76.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
272,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
273,San Juan,AR,80.64,clear sky,-31.5375,-68.5364,Hotel Provincial
275,Ambon,ID,78.24,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
286,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
291,Hukeri,IN,71.58,heavy intensity rain,16.2333,74.6,Hotel Druvaraj Ghargutti
293,Urucui,BR,84.52,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
298,Saint-Felicien,CA,73.9,few clouds,48.6501,-72.4491,Hôtel du Jardin
299,Diffa,NE,82.96,broken clouds,13.3154,12.6113,ProDAF/Diffa
301,Castelo Do Piaui,BR,83.82,clear sky,-5.3222,-41.5525,Nobre Hotel
302,Ensley,US,82.29,few clouds,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
309,Timmins,CA,75.02,scattered clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
311,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
313,Diu,IN,78.96,overcast clouds,20.7141,70.9822,Hotel Relax Inn
314,Rubiataba,BR,84.78,broken clouds,-15.1644,-49.8033,Pousada dos anjos
315,Bandarbeyla,SO,76.93,clear sky,9.4942,50.8122,JABIR HOTEL
317,Guider,CM,75.04,light rain,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
319,Kudahuvadhoo,MV,82.17,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
320,Maragogi,BR,73.38,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
322,Popondetta,PG,82.35,few clouds,-8.7537,148.2534,Timos Transit House
324,Traverse City,US,79.84,clear sky,44.7631,-85.6206,Bayshore Resort
326,Tahoua,NE,82.09,broken clouds,14.8888,5.2692,Bungalows Guesthouse
329,Awjilah,LY,78.1,clear sky,29.1081,21.2869,المنزل
331,Gorontalo,ID,73.49,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
333,Marzuq,YE,82.06,scattered clouds,14.4,46.4667,حيد القفلة
334,Huilong,CN,77.94,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
335,Buala,SB,82.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
337,La Tuque,CA,77.25,clear sky,47.4334,-72.7824,Appart-Hôtel La Tuque
338,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
344,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
345,Tonantins,BR,82.31,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
348,Saint-Prosper,CA,72.72,clear sky,46.2117,-70.4811,Residence Beau Séiour
349,Padang,ID,76.69,overcast clouds,-0.9492,100.3543,Mercure Padang
354,Ouargaye,BF,77.63,light rain,11.5033,0.0572,Résidence le Cotonnier
355,Porto Santo,PT,71.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
356,Pedernales,DO,82.56,few clouds,18.0384,-71.744,Hotel Costa Marina
358,Canto Do Buriti,BR,83.43,broken clouds,-8.11,-42.9444,Novo Hotel
359,Nhulunbuy,AU,74.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
360,San,ML,79.5,few clouds,13.3034,-4.8956,Hôtel Teriya
363,Hamilton,US,80.26,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
365,Galiakot,IN,82.35,overcast clouds,23.5167,74.0,Galiakot
370,Axim,GH,74.43,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
371,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
373,Rabo De Peixe,PT,72.91,scattered clouds,37.8,-25.5833,Quinta das Giestas
376,Tongren,CN,72.73,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
381,Eyl,SO,77.09,broken clouds,7.9803,49.8164,Amiin Hotel
383,Moerai,PF,72.43,clear sky,-22.4333,-151.3333,Le Manotel
385,Angoche,MZ,72.75,clear sky,-16.2325,39.9086,Guest House HESADA
386,Fare,PF,78.08,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
387,Ormara,PK,79.32,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
388,Ugoofaaru,MV,80.83,overcast clouds,5.6667,73.0,Ungoofaaru Inn
390,Linfen,CN,73.62,overcast clouds,36.0889,111.5189,Suoxing Hotel
394,Palauig,PH,80.76,scattered clouds,15.435,119.9045,Villa Raphael Resort
396,Grand-Santi,GF,75.45,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
400,Goderich,CA,71.91,clear sky,43.7501,-81.7165,Harmony Inn
408,Xuddur,SO,70.81,scattered clouds,4.1213,43.8894,Banjanay Hotel
413,Shache,CN,70.72,clear sky,38.4167,77.2406,Delong Hotel
415,Seguela,CI,70.21,light rain,7.9611,-6.6731,Hotel le Carrefour
416,Pouembout,NC,73.02,scattered clouds,-21.1333,164.9,Camping de Tipenga
419,Hambantota,LK,78.33,overcast clouds,6.1241,81.1185,Bungalow 63
422,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
427,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
432,Mandiana,GN,73.53,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
434,Pangobilian,PH,78.69,broken clouds,8.8011,117.8594,Sir Brooke's Resort
439,Requena,ES,75.79,overcast clouds,39.4883,-1.1004,Hotel Avenida
443,Tevaitoa,PF,78.17,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
444,Pochutla,MX,84.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
447,Hami,CN,76.95,clear sky,42.8,93.45,Laoyutang Resort
449,Berekum,GH,70.14,scattered clouds,7.4534,-2.584,Nyame Nnae Hotel
450,Mareeba,AU,71.47,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
451,Port Blair,IN,75.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
454,Qui Nhon,VN,76.23,overcast clouds,13.7667,109.2333,Seagull Hotel
455,Manitouwadge,CA,74.3,clear sky,49.1215,-85.8403,Select Inn
458,Basco,PH,82.63,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
462,Astoria,US,71.6,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
471,Kisangani,CD,73.2,overcast clouds,0.5167,25.2,Grand Ramela Hotel
475,Southwick,US,70.56,overcast clouds,42.0548,-72.7704,Sodom Mountain Campground
476,Noumea,NC,73.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
478,Rio Cuarto,AR,79.34,smoke,-33.1307,-64.3499,Hotel Menossi
480,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
489,Anito,PH,79.93,overcast clouds,12.4497,125.2886,El Felix Cottages
491,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
497,Khatra,IN,78.98,overcast clouds,22.9833,86.85,Aranyak Resort Mukutmanipur
499,Tanete,ID,73.45,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
501,Labuhan,ID,76.82,broken clouds,-6.8844,112.2051,DoubleFAG
502,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
510,Bubaque,GW,80.74,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
517,Yining,CN,73.81,overcast clouds,29.0361,114.5636,Xiushui Hotel
524,Camargo,MX,84.45,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
527,Danville,US,83.05,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
529,Wilmington,US,80.85,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
533,Camopi,GF,76.71,broken clouds,3.1655,-52.3158,La pousada
534,Erzin,TR,73.26,clear sky,36.9559,36.2,Artemis Otel
535,Bowen,AU,71.1,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
537,Tura,IN,75.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
538,Srandakan,ID,74.89,overcast clouds,-7.9386,110.2506,Puri Brata
540,Hasaki,JP,73.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
542,Asyut,EG,82.81,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
543,Sibenik,HR,72.37,clear sky,43.7272,15.9058,Hotel Jadran
545,Westport,US,72.95,overcast clouds,41.1415,-73.3579,The Westport Inn
547,Boyolangu,ID,73.71,broken clouds,-8.1181,111.8935,Yos ega cv
551,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
552,Thayetmyo,MM,75.36,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
554,Sal Rei,CV,79.2,few clouds,16.1833,-22.9167,Marine Club Beach Resort
555,Chikwawa,MW,71.31,scattered clouds,-16.0335,34.8009,Thawale Lodge
556,Chivacoa,VE,82.71,overcast clouds,10.1603,-68.895,Hotel Venezia
560,Sioux Lookout,CA,75.27,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
566,Jalingo,NG,74.23,overcast clouds,8.8833,11.3667,Debright Motel
568,Korla,CN,76.57,clear sky,41.7597,86.1469,Gulisitan Hotel
570,Staunton,US,70.18,overcast clouds,38.1496,-79.0717,Hotel 24 South
571,Voh,NC,73.85,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
575,Orocue,CO,80.73,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
576,Mackay,AU,71.69,clear sky,-21.15,149.2,International Lodge Motel
583,Vila Do Maio,CV,81.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
584,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
586,Missoula,US,83.84,overcast clouds,47.0166,-113.8009,Gold Creek Cabin
590,Takoradi,GH,74.5,clear sky,4.8845,-1.7554,Raybow International Hotel
591,Mahon,ES,79.36,few clouds,39.8885,4.2658,ARTIEM Capri
592,Benghazi,LY,78.39,clear sky,32.1167,20.0667,Tibesti Hotel
594,Casablanca,MA,71.82,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
595,Tabuk,PH,74.43,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
596,Moron,AR,71.49,clear sky,-34.6534,-58.6198,Hotel Morón
600,San Carlos,VE,79.75,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
601,Waddan,LY,78.64,clear sky,29.1614,16.139,محل الشريف محمد العايب
602,Jalu,LY,77.86,clear sky,29.0331,21.5482,صاحبة الفخامة
605,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Novotel Dakar
607,Sola,VU,81.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
608,Griffith,US,80.53,clear sky,41.5284,-87.4237,Apartment above Depot Bar
609,Aksu,CN,72.63,clear sky,41.1231,80.2644,Pudong Holiday Hotel
612,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
614,Hadgaon,IN,76.24,overcast clouds,19.5,77.6667,Ayan khan
619,Wanning,CN,79.14,heavy intensity rain,18.8003,110.3967,Paradise Hotel
623,Jabinyanah,TN,84.0,broken clouds,35.035,10.9081,maison belmabrouk
624,Pishin,PK,74.71,clear sky,30.5803,66.9961,City Hotel Pishin
625,Faridpur,BD,82.29,overcast clouds,23.6,89.8333,Progoti Muslim hostel
627,Tikapur,NP,78.64,clear sky,28.5,81.1333,BANANA AGRO RESORT
629,Kendari,ID,73.96,broken clouds,-3.945,122.4989,Hotel Wixel
631,Cabo San Lucas,MX,81.05,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
643,Kuah,MY,76.98,light rain,6.3265,99.8432,Azio Hotel
644,Curuca,BR,75.83,overcast clouds,-0.7289,-47.8481,Hotel Curuça
645,Tabas,IR,82.62,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
648,Salamiyah,SY,73.33,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
649,Gazanjyk,TM,76.62,overcast clouds,39.2446,55.5154,Railway motel
654,Kelapa Sawit,MY,78.67,few clouds,1.6698,103.5327,Tea Garden Hotel
657,Fereydun Kenar,IR,76.89,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
663,Itupiranga,BR,82.72,broken clouds,-5.1347,-49.3267,Hotel Panorama
664,Khash,IR,73.96,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
667,Brewster,US,71.92,overcast clouds,41.3973,-73.6171,Heidi's Inn
668,Shingu,JP,77.11,overcast clouds,33.7333,135.9833,Shingu UI Hotel
671,Kibala,TD,76.59,overcast clouds,9.1104,18.3463,Prasant Hotels
672,Freeport,US,73.38,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
673,Merke,KZ,70.32,clear sky,42.8728,73.1786,Gostinitsa Merki
675,Robertsport,LR,76.93,light rain,6.7533,-11.3686,Kwepunha Retreat
678,Chaohu,CN,73.13,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
680,Maine-Soroa,NE,82.94,light rain,13.2114,12.0241,Complexe
681,Lokoja,NG,73.65,light rain,7.8024,6.743,Hotel Charvid
682,Zinder,NE,78.76,overcast clouds,13.8072,8.9881,Hotel de Ville
685,Masyaf,SY,70.23,clear sky,35.0653,36.3406,شاطئ مايو
687,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
688,Lhokseumawe,ID,77.63,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
689,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
690,Puerto Cabello,VE,83.75,broken clouds,10.4731,-68.0125,Las Palmeras
